,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_every,params_lr_decay_rate,params_warmup,params_weight_decay,state
0,0,-0.141543488750726,2020-07-05 11:32:21.432759,2020-07-05 11:58:30.405201,0 days 00:26:08.972442000,512,128.0,0.0001861460829576727,3,0.7788381372956257,265,1.7487030833598665e-05,COMPLETE
1,1,-0.19042895538083282,2020-07-05 11:58:30.408458,2020-07-05 12:26:45.047260,0 days 00:28:14.638802000,384,112.0,0.00016645972385380162,6,0.8206232990410072,294,0.005088164648844204,COMPLETE
2,2,-0.21801003240347333,2020-07-05 12:26:45.051069,2020-07-05 13:00:10.963054,0 days 00:33:25.911985000,256,32.0,0.007386086464129374,4,0.7572125136932097,115,8.688489830455365e-06,COMPLETE
3,3,-0.14400592135953996,2020-07-05 13:00:10.966174,2020-07-05 13:28:14.048134,0 days 00:28:03.081960000,384,16.0,0.00039405760357219603,7,0.542846199079796,410,9.72506869215812e-05,COMPLETE
4,4,-0.14428273156001145,2020-07-05 13:28:14.052501,2020-07-05 14:01:43.795996,0 days 00:33:29.743495000,256,64.0,0.00771465058521915,9,0.5351719245653571,483,0.00384110373888242,COMPLETE
5,5,-0.23122761042650927,2020-07-05 14:01:43.800197,2020-07-05 14:29:55.070828,0 days 00:28:11.270631000,384,32.0,0.000466551061026946,5,0.7306337465234234,409,1.7567523764674836e-05,COMPLETE
6,6,-0.006509228335177649,2020-07-05 14:29:55.074921,2020-07-05 15:20:27.263234,0 days 00:50:32.188313000,128,16.0,0.0008975144109768966,1,0.9764716621035281,195,0.0006683763541281538,COMPLETE
7,7,-0.11227347107521904,2020-07-05 15:20:27.267828,2020-07-05 15:45:51.645857,0 days 00:25:24.378029000,512,64.0,0.00010814377852739863,9,0.9386013493146401,248,0.00010437724296414848,COMPLETE
8,8,-0.2354801715951395,2020-07-05 15:45:51.649594,2020-07-05 16:19:52.368777,0 days 00:34:00.719183000,256,48.0,0.00041099133578368095,10,0.6064345078678166,292,4.071305059731744e-06,COMPLETE
9,9,-0.22809113044548174,2020-07-05 16:19:52.371996,2020-07-05 16:53:57.380929,0 days 00:34:05.008933000,256,64.0,0.004726075970342734,6,0.9383269680259192,414,3.852960278010261e-05,COMPLETE
10,10,-0.006509228335177649,2020-07-05 16:53:57.384254,2020-07-05 17:45:37.296475,0 days 00:51:39.912221000,128,96.0,0.0022921171023131386,10,0.6533496641439251,163,1.4682150880567898e-06,COMPLETE
11,11,-0.24263608305304615,2020-07-05 17:45:37.300410,2020-07-05 18:13:56.415400,0 days 00:28:19.114990000,384,32.0,0.0005419203498067427,4,0.650764907701159,372,1.5501363731264962e-06,COMPLETE
12,12,-0.28608289235181417,2020-07-05 18:13:56.419046,2020-07-05 18:42:38.804829,0 days 00:28:42.385783000,384,48.0,0.0007965458269452495,2,0.6348448884535313,350,1.0276080015781148e-06,COMPLETE
13,13,-0.2592441096565192,2020-07-05 18:42:38.808005,2020-07-05 19:07:58.059010,0 days 00:25:19.251005000,512,32.0,0.0012078200333224417,1,0.6671868732685668,357,1.0555932764947175e-06,COMPLETE
14,14,-0.24310152143457542,2020-07-05 19:07:58.062615,2020-07-05 19:33:13.931248,0 days 00:25:15.868633000,512,80.0,0.001866628866817349,1,0.6752243480456961,346,1.2319251077459867e-06,COMPLETE
15,15,-0.23753945753835568,2020-07-05 19:33:13.934660,2020-07-05 19:58:29.846784,0 days 00:25:15.912124000,512,48.0,0.0013959637135021298,2,0.5784705099009952,483,1.086402423216015e-06,COMPLETE
16,16,-0.22649859031351555,2020-07-05 19:58:29.850994,2020-07-05 20:23:30.224062,0 days 00:25:00.373068000,512,48.0,0.003493210045711687,2,0.8304143868926644,337,4.5167498460732625e-06,COMPLETE
17,17,-0.21050803494917938,2020-07-05 20:23:30.226925,2020-07-05 20:51:57.113261,0 days 00:28:26.886336000,384,16.0,0.0008615830866559528,1,0.7077498175641096,451,0.0009200656141267323,COMPLETE
18,18,-0.24834110247180177,2020-07-05 20:51:57.116277,2020-07-05 21:20:28.958012,0 days 00:28:31.841735000,384,80.0,0.0013791928461094375,3,0.6104515559436835,341,3.4742575525604598e-06,COMPLETE
19,19,-0.08346673643462028,2020-07-05 21:20:28.961168,2020-07-05 21:45:30.005702,0 days 00:25:01.044534000,512,32.0,0.0002668632704634649,2,0.521142150137712,225,0.0002464778236704613,COMPLETE
