,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_layer_size,params_lr,params_lr_decay_rate,params_weight_decay,state
0,0,-0.18085482266426942,2020-07-11 21:52:40.540292,2020-07-11 22:03:50.369210,0 days 00:11:09.828918000,384.0,128.0,1,0.0007505347508799698,0.5894973118164093,4.646034882939636e-06,COMPLETE
1,1,-0.006951593412344315,2020-07-11 22:03:50.369864,2020-07-11 22:13:28.646635,0 days 00:09:38.276771000,384.0,96.0,1,0.00013331571058689998,0.5646825362179932,0.0015085211772359814,COMPLETE
2,2,-0.0047113513261491605,2020-07-11 22:13:28.647224,2020-07-11 22:29:56.844706,0 days 00:16:28.197482000,256.0,64.0,3,0.0006020229683624341,0.8130295229220125,2.6970910049581128e-05,COMPLETE
3,3,-0.06561515206893662,2020-07-11 22:29:56.845248,2020-07-11 22:41:32.766679,0 days 00:11:35.921431000,384.0,112.0,3,0.00014822171795095523,0.784834175145711,1.72607915216722e-06,COMPLETE
4,4,-0.17650629281112773,2020-07-11 22:41:32.767305,2020-07-11 23:10:42.931447,0 days 00:29:10.164142000,128.0,128.0,1,0.00015679410532363992,0.5866420873261919,1.5480847602779454e-06,COMPLETE
5,5,-0.17093703680538988,2020-07-11 23:10:42.931976,2020-07-11 23:17:01.022328,0 days 00:06:18.090352000,512.0,16.0,1,0.003932583141414989,0.7320154278353164,2.6721552273540326e-06,COMPLETE
6,6,-0.0046400217471237225,2020-07-11 23:17:01.022889,2020-07-11 23:23:24.743727,0 days 00:06:23.720838000,512.0,16.0,2,0.0005339733041344128,0.6240664438921057,0.004024156625252692,COMPLETE
7,7,-0.0046400217471237225,2020-07-11 23:23:24.744320,2020-07-11 23:31:51.918863,0 days 00:08:27.174543000,384.0,48.0,2,0.002630101578086809,0.6069473476420583,0.001388846426753029,COMPLETE
8,8,-0.006614972674129118,2020-07-11 23:31:51.919490,2020-07-11 23:40:38.303329,0 days 00:08:46.383839000,384.0,128.0,3,0.0015843104268315007,0.8974845178361441,6.9802550442016835e-06,COMPLETE
9,9,-0.013960023724301983,2020-07-11 23:40:38.303939,2020-07-12 00:02:50.438859,0 days 00:22:12.134920000,128.0,128.0,1,0.002965387777956656,0.8409277204913772,4.5298205319975986e-05,COMPLETE
10,10,-0.0046400217471237225,2020-07-12 00:02:50.439479,2020-07-12 00:14:25.450879,0 days 00:11:35.011400000,256.0,96.0,2,0.008603612945643978,0.6864380375060699,0.00016238635224139226,COMPLETE
11,11,-0.17664191727733541,2020-07-12 00:14:25.451542,2020-07-12 00:34:09.131260,0 days 00:19:43.679718000,128.0,128.0,1,0.000337830723449835,0.5074517135799408,1.3687441562617086e-06,COMPLETE
12,12,-0.1797307595793884,2020-07-12 00:34:09.131858,2020-07-12 00:44:01.362491,0 days 00:09:52.230633000,256.0,96.0,1,0.00042827730761929307,0.5002331856722309,7.513410784440425e-06,COMPLETE
13,13,-0.1318044625718875,2020-07-12 00:44:01.363077,2020-07-12 00:53:53.226573,0 days 00:09:51.863496000,256.0,96.0,1,0.00032953131569487485,0.5011563289924998,9.834273369578758e-06,COMPLETE
14,14,-0.0046400217471237225,2020-07-12 00:53:53.227236,2020-07-12 01:04:29.319620,0 days 00:10:36.092384000,256.0,80.0,2,0.0011109211660576296,0.5179463048763278,0.00022678777009655786,COMPLETE
15,15,-0.16635212664680935,2020-07-12 01:04:29.320187,2020-07-12 01:09:37.109561,0 days 00:05:07.789374000,512.0,112.0,1,0.0006454722935277029,0.6754973453597276,8.235711930718635e-06,COMPLETE
16,16,-0.014753271103892213,2020-07-12 01:09:37.110163,2020-07-12 01:20:12.864960,0 days 00:10:35.754797000,256.0,64.0,2,0.00028628293206591735,0.972180545877654,2.349954615751925e-05,COMPLETE
17,17,-0.19374116269117683,2020-07-12 01:20:12.865556,2020-07-12 01:26:50.838206,0 days 00:06:37.972650000,384.0,112.0,1,0.0013508285856413927,0.5542248331130855,3.933817000956927e-06,COMPLETE
18,18,-0.19724439100224703,2020-07-12 01:26:50.838786,2020-07-12 01:33:30.198384,0 days 00:06:39.359598000,384.0,112.0,1,0.0013972486955686483,0.6451057864711782,3.535446008892476e-06,COMPLETE
19,19,-0.0047113513261491605,2020-07-12 01:33:30.199036,2020-07-12 01:38:58.909261,0 days 00:05:28.710225000,512.0,112.0,2,0.0016220574707984123,0.6724461749551773,5.680502992622217e-05,COMPLETE
