,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma1,params_gamma2,params_gamma3,state
0,0,-0.345025342151754,2020-07-07 11:46:59.918110,2020-07-07 11:53:04.193400,0 days 00:06:04.275290000,0.05874091495623923,0.24495129436241087,0.7231491864979097,0.7755096347357538,0.4440974050775628,COMPLETE
1,1,-0.33974182343276693,2020-07-07 11:53:04.196210,2020-07-07 12:02:04.533345,0 days 00:09:00.337135000,0.17020148744273011,0.11901665872614742,0.0024022186130915335,0.06280590991187662,0.9054363346325803,COMPLETE
2,2,-0.34815302224003336,2020-07-07 12:02:04.538066,2020-07-07 12:16:02.372959,0 days 00:13:57.834893000,0.4852229258279863,0.11007499848827357,0.24563225779165032,0.22957615182344082,0.057337266209081195,COMPLETE
3,3,-0.35070531555654577,2020-07-07 12:16:02.376206,2020-07-07 12:21:09.184540,0 days 00:05:06.808334000,0.016345209548551898,0.3372652550602257,0.572324278037576,0.37193705118906095,0.38660333101208844,COMPLETE
4,4,-0.3525510960712282,2020-07-07 12:21:09.188370,2020-07-07 12:29:50.407484,0 days 00:08:41.219114000,0.1821574054382603,0.2636591083607701,0.49919236593828975,0.4364379409071333,0.6537394590125281,COMPLETE
5,5,-0.35327749602977515,2020-07-07 12:29:50.412532,2020-07-07 12:48:08.093965,0 days 00:18:17.681433000,0.6135612805814715,0.08728413608625174,0.4635048401098323,0.05399176703579012,0.0819861818231703,COMPLETE
6,6,-0.3346892559377154,2020-07-07 12:48:08.096805,2020-07-07 13:07:48.901139,0 days 00:19:40.804334000,0.7162986215303391,0.31699301513761063,0.18512321870242243,0.7681270757350673,0.31185563330014854,COMPLETE
7,7,-0.33663044443294,2020-07-07 13:07:48.904820,2020-07-07 13:23:45.111953,0 days 00:15:56.207133000,0.6095609620577347,0.34000430777576623,0.1342794300116743,0.4574753486137988,0.8830719161129024,COMPLETE
8,8,-0.3353799319466757,2020-07-07 13:23:45.114823,2020-07-07 13:38:57.682124,0 days 00:15:12.567301000,0.6296983396579566,0.3248563941639774,0.974545935026121,0.30686135033273965,0.5673636082388593,COMPLETE
9,9,-0.3473168330708138,2020-07-07 13:38:57.686114,2020-07-07 13:48:53.570029,0 days 00:09:55.883915000,0.30834301403006203,0.33303066847738866,0.34887259211718913,0.4092474289986797,0.4386827560749348,COMPLETE
10,10,-0.3095036026545438,2020-07-07 13:48:53.574997,2020-07-07 15:10:03.728519,0 days 01:21:10.153522000,0.9267064240512943,0.028565544472643922,0.8595427826948863,0.03241600384793953,0.014399334055917437,COMPLETE
11,11,-0.34158863269975603,2020-07-07 15:10:03.731368,2020-07-07 15:20:48.554522,0 days 00:10:44.823154000,0.37588609042876764,0.4898438393134996,0.5019945149397317,0.61339151174047,0.6922981495434373,COMPLETE
12,12,-0.3335934055423035,2020-07-07 15:20:48.559358,2020-07-07 15:58:14.901943,0 days 00:37:26.342585000,0.8991230037864293,0.19838326066045933,0.6396545875468135,0.9791745742912672,0.7089138159860682,COMPLETE
13,13,-0.31988718893345597,2020-07-07 15:58:14.905492,2020-07-07 16:15:59.268232,0 days 00:17:44.362740000,0.7731053413866422,0.4395507331708031,0.39940424747703523,0.1635643820683071,0.16581173771663793,COMPLETE
14,14,-0.3460399241433819,2020-07-07 16:15:59.271604,2020-07-07 16:25:40.677849,0 days 00:09:41.406245000,0.24453304857734426,0.029618706670213546,0.406153648018187,0.5985072384283414,0.7582336230267761,COMPLETE
15,15,-0.3524243875226572,2020-07-07 16:25:40.680962,2020-07-07 16:38:06.587738,0 days 00:12:25.906776000,0.4569040486398712,0.17268230676965157,0.7473060843477051,0.15838665332613538,0.5756147785257765,COMPLETE
16,16,-0.35317919490916927,2020-07-07 16:38:06.592584,2020-07-07 16:54:18.489492,0 days 00:16:11.896908000,0.5730714618386492,0.08475983884620088,0.5150135919132915,0.00180722037218628,0.23097004130453697,COMPLETE
17,17,-0.35597853164371585,2020-07-07 16:54:18.493805,2020-07-07 17:11:53.844919,0 days 00:17:35.351114000,0.5954461337059086,0.06730702491227404,0.3333782217856389,0.025249620072643163,0.1970152772194534,COMPLETE
18,18,-0.34388244477845953,2020-07-07 17:11:53.848966,2020-07-07 17:42:24.827620,0 days 00:30:30.978654000,0.791887792914027,0.01948879699830046,0.27358808263892453,0.10860012089274754,0.1119205738813436,COMPLETE
19,19,-0.34063239321085126,2020-07-07 17:42:24.830279,2020-07-07 18:09:53.417156,0 days 00:27:28.586877000,0.6774085932302519,0.07393406460105134,0.07349790067238932,0.26306214347165424,0.23895962945588284,COMPLETE
20,20,-0.3465616768869779,2020-07-07 18:09:53.420112,2020-07-07 18:24:08.276463,0 days 00:14:14.856351000,0.5450289704689211,0.17634127866325983,0.34567402720625107,0.005030198045163945,0.00517023834905761,COMPLETE
21,21,-0.3567089667541297,2020-07-07 18:24:08.279326,2020-07-07 18:36:21.651498,0 days 00:12:13.372172000,0.41222735111434994,0.09832407087474292,0.4580167423368264,0.005201917293355063,0.21145137741501896,COMPLETE
22,22,-0.35534316358933565,2020-07-07 18:36:21.654662,2020-07-07 18:48:36.759354,0 days 00:12:15.104692000,0.4017432366936458,0.128389312716633,0.6034664179526404,0.0011592723890012022,0.16322059188659171,COMPLETE
23,23,-0.3547399969147404,2020-07-07 18:48:36.763090,2020-07-07 19:00:49.750756,0 days 00:12:12.987666000,0.4258104172961133,0.14569237123401962,0.6265192322917515,0.17147633683413926,0.31536586783961834,COMPLETE
24,24,-0.3580480979126983,2020-07-07 19:00:49.753409,2020-07-07 19:13:07.347010,0 days 00:12:17.593601000,0.3682516929823899,0.04871752644370429,0.7467903815462481,0.10656063931870648,0.17535603013855763,COMPLETE
25,25,-0.3439542143442856,2020-07-07 19:13:07.350430,2020-07-07 19:23:40.386256,0 days 00:10:33.035826000,0.32843768910613913,0.0007011213086485918,0.9457056658982124,0.10502043568038569,0.27013511575990257,COMPLETE
26,26,-0.35613792851049475,2020-07-07 19:23:40.388978,2020-07-07 19:33:47.013666,0 days 00:10:06.624688000,0.26797383247078665,0.05455737167186053,0.7672577795170256,0.2273074144210964,0.14919432271041394,COMPLETE
27,27,-0.3529963446267438,2020-07-07 19:33:47.016872,2020-07-07 19:40:49.990132,0 days 00:07:02.973260000,0.09682442496276533,0.0480602620479419,0.7926211361778177,0.3112210250170112,0.37499855718376723,COMPLETE
28,28,-0.3545654841672059,2020-07-07 19:40:49.993045,2020-07-07 19:49:47.516984,0 days 00:08:57.523939000,0.27314533599650404,0.22623368616213163,0.8848665357692543,0.22297348583220866,0.12808859025161737,COMPLETE
29,29,-0.3532862428886285,2020-07-07 19:49:47.520753,2020-07-07 19:58:34.099785,0 days 00:08:46.579032000,0.2033624197641834,0.1566327504716687,0.6911964906342102,0.5189463058434853,0.0019513485917653228,COMPLETE
